"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"
"6"	"q"	"1022"	"1041"	"19"	"1"	"62529446"	"85978952"	"q11.1"	"q14.3"
"6"	"q"	"1032"	"1051"	"19"	"2"	"73038504"	"99279159"	"q13"	"q16.1"
"6"	"q"	"1042"	"1061"	"19"	"3"	"88230325"	"107920781"	"q15"	"q21"
"6"	"q"	"1052"	"1071"	"19"	"4"	"99790429"	"117809698"	"q16.2"	"q22.1"
"6"	"q"	"1062"	"1081"	"19"	"5"	"108419267"	"128407926"	"q21"	"q22.33"
"6"	"q"	"1072"	"1091"	"19"	"6"	"118570556"	"139914841"	"q22.31"	"q24.1"
"6"	"q"	"1082"	"1101"	"19"	"7"	"129623695"	"151401982"	"q22.33"	"q25.1"
"6"	"q"	"1092"	"1111"	"19"	"8"	"141083856"	"158806582"	"q24.1"	"q25.3"
"6"	"q"	"1102"	"1121"	"19"	"9"	"152053838"	"169747290"	"q25.1"	"q27"
"7"	"p"	"1122"	"1141"	"19"	"1"	"1646315"	"21622750"	"p22.3"	"p15.3"
"7"	"p"	"1132"	"1151"	"19"	"2"	"11807386"	"36202604"	"p21.3"	"p14.2"
"7"	"p"	"1142"	"1170"	"28"	"3"	"24524124"	"56672964"	"p15.3"	"p11.2"
"7"	"q"	"1171"	"1190"	"19"	"1"	"62689176"	"79702216"	"q11.21"	"q21.11"
"7"	"q"	"1181"	"1200"	"19"	"2"	"71507839"	"88152523"	"q11.22"	"q21.12"
"7"	"q"	"1191"	"1210"	"19"	"3"	"81600243"	"98946495"	"q21.11"	"q22.1"
"7"	"q"	"1201"	"1220"	"19"	"4"	"88834393"	"107685164"	"q21.13"	"q31.1"
"7"	"q"	"1211"	"1230"	"19"	"5"	"99531504"	"118201933"	"q22.1"	"q31.31"
"7"	"q"	"1221"	"1240"	"19"	"6"	"108130860"	"128624043"	"q31.1"	"q32.1"
"7"	"q"	"1231"	"1250"	"19"	"7"	"118843084"	"136956770"	"q31.31"	"q33"
"7"	"q"	"1241"	"1260"	"19"	"8"	"129452491"	"146329761"	"q32.2"	"q35"
"7"	"q"	"1251"	"1277"	"26"	"9"	"137034599"	"157857901"	"q33"	"q36.3"
"8"	"p"	"1278"	"1297"	"19"	"1"	"488653"	"17738273"	"p23.3"	"p22"
"8"	"p"	"1288"	"1307"	"19"	"2"	"7992614"	"29699950"	"p23.1"	"p12"
"8"	"p"	"1298"	"1323"	"25"	"3"	"18206046"	"43197654"	"p22"	"p11.1"
"8"	"q"	"1324"	"1343"	"19"	"1"	"47698453"	"64304418"	"q11.1"	"q12.3"
"8"	"q"	"1334"	"1353"	"19"	"2"	"55343291"	"73560678"	"q11.23"	"q13.3"
"8"	"q"	"1344"	"1363"	"19"	"3"	"65216296"	"82461173"	"q12.3"	"q21.13"
"8"	"q"	"1354"	"1373"	"19"	"4"	"75411898"	"95910661"	"q21.11"	"q22.1"
"8"	"q"	"1364"	"1383"	"19"	"5"	"84216776"	"105934497"	"q21.13"	"q22.3"
