"Chrom"	"Arm"	"Beg"	"End"	"Length"	"Segment"	"bpStart"	"bpEnd"	"CytoStart"	"CytoEnd"	"Avg_Min"	"Avg_Q05"
1	"p"	0	19	19	1	3225674	24480408	"p36.32"	"p36.11"	0.0129368379144518	0.0478520793874533
1	"p"	10	29	19	2	12429632	32503491	"p36.22"	"p35.1"	0.0157885029241603	0.0517383411956862
1	"p"	20	39	19	3	24727422	41059040	"p36.11"	"p34.2"	0.0140336076400016	0.0539426392838449
1	"p"	30	49	19	4	33102443	50571477	"p35.1"	"p33"	0.0125884640363624	0.0478779855029199
1	"p"	40	59	19	5	43216014	60167775	"p34.2"	"p32.1"	0.0111406353750069	0.0412058366821619
1	"p"	50	69	19	6	50823002	70103164	"p32.3"	"p31.1"	0.0155087156497272	0.0514850761717204
1	"p"	60	79	19	7	61272941	82056781	"p32.1"	"p31.1"	0.0148098938560814	0.0472871679219797
1	"p"	70	89	19	8	70406779	90064716	"p31.1"	"p22.2"	0.0108007385158891	0.0429909956722116
1	"p"	80	99	19	9	82654606	98909737	"p31.1"	"p21.3"	0.010168658187555	0.0381511736514526
1	"p"	90	109	19	10	90685248	108529492	"p22.2"	"p13.3"	0.0102155898224013	0.0364850474155508
1	"p"	100	121	21	11	99899192	119700888	"p21.2"	"p12"	0.0110076146021775	0.0420560294054895
1	"q"	122	141	19	1	144902224	176031972	"q21.1"	"q25.2"	0.00984580461435338	0.0357925843776779
1	"q"	132	151	19	2	157789502	187177778	"q23.1"	"q31.1"	0.0112778830747993	0.0370532669381778
1	"q"	142	161	19	3	177185122	202153138	"q25.2"	"q32.1"	0.0115791007108912	0.0407708915885265
1	"q"	152	171	19	4	189026708	214983322	"q31.1"	"q41"	0.00986556165631883	0.0334094450464074
1	"q"	162	181	19	5	202708964	223823291	"q32.1"	"q41"	0.00965121365972013	0.0313136919119948
1	"q"	172	194	22	6	215620474	245156672	"q41"	"q44"	0.0111537483209753	0.0413411462021658
2	"p"	195	214	19	1	1634835	17143873	"p25.3"	"p24.2"	0.00957860116372915	0.0334184966095964
2	"p"	205	224	19	2	10273536	28560131	"p25.1"	"p23.2"	0.00983809982657417	0.0336151843745702
2	"p"	215	234	19	3	18627614	40494207	"p24.2"	"p22.1"	0.0107829585336521	0.0347894271565769
2	"p"	225	244	19	4	29408613	52193233	"p23.2"	"p16.3"	0.0108420722707667	0.0374209168609967
2	"p"	235	254	19	5	42481333	61074680	"p21"	"p16.1"	0.0110351289107649	0.0405686012710259
2	"p"	245	264	19	6	52340761	71023979	"p16.3"	"p13.3"	0.0108546018497846	0.0388119477517905
2	"p"	255	279	24	7	61567864	90134890	"p15"	"p11.2"	0.00840793519768031	0.0372144899815654
2	"q"	280	299	19	1	96312037	116078094	"q11.1"	"q14.1"	0.00977833283444397	0.0366109019722192
2	"q"	290	309	19	2	103347770	129922768	"q12.1"	"q21.1"	0.011624715538636	0.0384999693242606
2	"q"	300	319	19	3	116597572	137651514	"q14.1"	"q22.1"	0.0102728960519269	0.0392975308431074
2	"q"	310	329	19	4	130702537	153842923	"q21.1"	"q23.3"	0.00894357492737192	0.0337254587447261
2	"q"	320	339	19	5	138354127	164378391	"q22.1"	"q24.3"	0.0085427520689547	0.0341521395881712
2	"q"	330	349	19	6	154719948	172410324	"q23.3"	"q31.1"	0.0107609753258524	0.0380714023993886
2	"q"	340	359	19	7	165980488	183438700	"q24.3"	"q32.1"	0.0101709009649122	0.0390231956558817
2	"q"	350	369	19	8	173461521	191454754	"q31.1"	"q32.2"	0.0104813811147588	0.0361166897259153
2	"q"	360	379	19	9	184622291	201848788	"q32.1"	"q33.1"	0.00821536014888295	0.0315772151225586
2	"q"	370	389	19	10	193207674	210920868	"q32.3"	"q34"	0.00947798718029135	0.0344393469107231
2	"q"	380	399	19	11	202710319	221627991	"q33.1"	"q36.1"	0.0124107006362114	0.0433348803684197
2	"q"	390	417	27	12	212164265	240317277	"q34"	"q37.3"	0.00629253083554295	0.0374305875788987
3	"p"	418	437	19	1	794376	14911335	"p26.3"	"p25.1"	0.0110053807408144	0.038509512694789
3	"p"	428	447	19	2	7586443	23599970	"p26.1"	"p24.3"	0.0117999079876068	0.0402072229235122
3	"p"	438	457	19	3	15654041	31660835	"p25.1"	"p23"	0.0101981817396573	0.0382558510723527
3	"p"	448	467	19	4	24193255	41198083	"p24.2"	"p22.1"	0.00971699162633894	0.0354425223212419
3	"p"	458	477	19	5	32675189	49869914	"p22.3"	"p21.31"	0.0104882879964842	0.0381858946001968
3	"p"	468	487	19	6	42625834	58175201	"p22.1"	"p14.3"	0.0124917518492224	0.0442464816143985
3	"p"	478	497	19	7	51583522	70551043	"p21.2"	"p13"	0.0118082061823281	0.0425138216525903
3	"p"	488	515	27	8	59727302	87488189	"p14.2"	"p11.2"	0.00690925261929578	0.0374973725941034
3	"q"	516	535	19	1	94037937	114057369	"q11.2"	"q13.31"	0.0108454308817386	0.0443264300716653
3	"q"	526	545	19	2	103699273	122005100	"q13.11"	"q21.1"	0.0117152231338566	0.0405253647484116
3	"q"	536	555	19	3	114797967	131131415	"q13.31"	"q22.1"	0.0120307023604841	0.0390279080651462
3	"q"	546	565	19	4	122356613	139780668	"q21.1"	"q23"	0.0103672130600336	0.0399015401629146
3	"q"	556	575	19	5	132340909	148030187	"q22.1"	"q24"	0.0087289233113749	0.0343289778657696
3	"q"	566	585	19	6	140689764	155160384	"q23"	"q25.31"	0.00790090187498847	0.0333348247165251
3	"q"	576	595	19	7	148858461	169246634	"q24"	"q26.2"	0.0114593074863603	0.0392621082607455
3	"q"	586	605	19	8	155631556	179385745	"q25.31"	"q26.33"	0.0134091596088698	0.0449434342161261
3	"q"	596	615	19	9	169349126	187210808	"q26.2"	"q27.3"	0.0138785116065297	0.0476463223071914
3	"q"	606	626	20	10	179953005	197493977	"q26.33"	"q29"	0.0116578508678248	0.0433752538660837
4	"p"	627	646	19	1	1076598	27137510	"p16.3"	"p15.2"	0.0106184377194376	0.0396720485683033
4	"p"	637	656	19	2	11032457	37516696	"p16.1"	"p14"	0.0105809357759101	0.039573544395436
4	"p"	647	666	19	3	28650879	48830559	"p15.1"	"p11"	0.0102057246299853	0.0383953202616318
4	"q"	667	686	19	1	52661122	71661502	"q11"	"q13.3"	0.00896657864070183	0.0325180852163747
4	"q"	677	696	19	2	61969315	81290035	"q13.1"	"q21.21"	0.0108521886926003	0.0386168423967648
4	"q"	687	706	19	3	72021300	90704922	"q13.3"	"q22.1"	0.0117951355028742	0.0390472273168377
4	"q"	697	716	19	4	81980978	101292561	"q21.21"	"q24"	0.0110297242355084	0.036279776728001
4	"q"	707	726	19	5	91535761	109658621	"q22.1"	"q25"	0.0083925086307313	0.0301365076886169
4	"q"	717	736	19	6	101595206	120936770	"q24"	"q27"	0.00815511352276207	0.0299678432976925
4	"q"	727	746	19	7	109839332	131395984	"q25"	"q28.3"	0.00914709039632222	0.0365147876616441
4	"q"	737	756	19	8	121497417	142182745	"q27"	"q31.21"	0.0110128515213792	0.0374706136895368
4	"q"	747	766	19	9	132550017	152548400	"q28.3"	"q31.3"	0.00883892268370759	0.0357824246386146
4	"q"	757	776	19	10	143689171	166022098	"q31.21"	"q32.3"	0.00974984038487622	0.0367769103640521
4	"q"	767	786	19	11	152744745	176245828	"q31.3"	"q34.1"	0.0105771982701333	0.0384349415329894
4	"q"	777	799	22	12	166521693	190284043	"q32.3"	"q35.2"	0.00814983441988964	0.0357498675033788
5	"p"	800	819	19	1	2518762	16627325	"p15.33"	"p15.1"	0.0114351829967263	0.0379126945189896
5	"p"	810	829	19	2	10307620	31292180	"p15.2"	"p13.3"	0.0109056320538597	0.0372584523368749
5	"p"	820	840	20	3	19608109	42861888	"p14.3"	"p12"	0.00926107802728812	0.0371637828610656
